sentence,option1,option2,answer
Samuel took more vitamins than Robert did because _ had less trouble with their mind.,Samuel,Robert,2
Samuel took more vitamins than Robert did because _ had more trouble with their mind.,Samuel,Robert,1
The groundskeeper replaced the filter in the pond. He could see that the _ was clean.,pond,filter,1
The groundskeeper replaced the filter in the pond. He could see that the _ was full.,pond,filter,2
Maria was not allowed to go to prom unlike Emily because _ was raised in a strong atheistic home.,Maria,Emily,2
Maria was not allowed to go to prom unlike Emily because _ was raised in a strong christian home.,Maria,Emily,1
The insurance company blamed Leslie instead of Logan for the accident since _ had a green light.,Leslie,Logan,2
The insurance company blamed Leslie instead of Logan for the accident since _ ran a red light.,Leslie,Logan,1
"Samantha has an affinity for salt while Katrina does not, so _ likes licking the top of the martini glasses.",Samantha,Katrina,1
It was warm in the closet but cold in the basement because the _ was running an air conditioner.,basement,closet,1
The wall ca demolished by a hammer despite the type of stone used in building it. The _ is strong.,stone,hammer,2
The home of Dennis but not Nelson was broken into because _ did not like to show visitors their valuable jewelry collection.,Dennis,Nelson,2
We kept the bread in the box to help prevent mold and to keep it out of sight because the _ made the kitchen look messy.,bread,mold,1
We kept the bread in the box to help prevent mold and to keep it out of sight because the _ made the kitchen look dirty.,bread,mold,2
"James realized he had not gathered enough cash for the price of the book, The _ is low.",cash,price,1
The menu choices were a cheeseburger or salad but because I didn't care about staying fit I chose the _ for dinner.,salad,cheeseburger,2
We had a lightning warning and we didn't take shelter under the tree but took shelter in the shed instead. The experts say the _ provides less protection.,tree,shed,1
Matthew made a complex graph but not Ian because _ taught a class at an advanced level.,Matthew,Ian,1
Mr. Farmer's son noticed a hole in the wooden fence so he tried hitting a golf ball through it; he didn't realize that the _ was too tiny.,ball,hole,2
Mr. Farmer's son noticed a hole in the wooden fence so he tried hitting a golf ball through it; he didn't realize that the _ was too large.,ball,hole,1
Michael was building a snowman when Donald walked by and knocked it over.  _ was amused.,Michael,Donald,2
Natalie feels bad about Erin's baldness because _ still has thick hair despite having undergone chemotherapy.,Natalie,Erin,1
"We were going to go swimming at the pool but went to the lake instead, because the _ was full of water.",pool,lake,2
James threw the ball into the basket and it could not enter it. The _ is very big.,ball,basket,1
James threw the ball into the basket and it could not enter it. The _ is very small.,ball,basket,2
Steven wrote several letters a day to Kevin because _ just loved receiving mail .,Steven,Kevin,2
The tree had to be planted directly in the lustrous forest because the _ was touchy.,tree,forest,1
The tea Matthew made was always more strong than the tea Ian made because _ took the teabag out of the cup.,Matthew,Ian,2
The tea Matthew made was always more strong than the tea Ian made because _ left the teabag in the cup.,Matthew,Ian,1
The cotton bud could not get into the ear of the hamster because the _ is large.,bud,ear,1
The cotton bud could not get into the ear of the hamster because the _ is narrow.,bud,ear,2
"Michael said goodbye to Christopher, his best friend who was going to California to star in a movie, and _ was very excited.",Michael,Christopher,2
"The sentences in the book make more sense than my friends notes, because the _ were lengthy.",sentences,notes,2
Rebecca wanted forgiveness for their sins whereas Elena did not as _ was a very secular person.,Rebecca,Elena,2
"The menu at the bar was so small that I didn’t feel like I had many choices, so I just randomly picked something off of the _ .",menu,bar,1
"The menu at the bar was so big that I feel like I had too many choices, so I just randomly picked something at the _ .",menu,bar,2
Ray was tasked to ensure the family business ran smoothly. The _ was so united.,Family,Business,1
Ray was tasked to ensure the family business ran smoothly. The _ was very important.,Family,Business,2
Ryan offered condolences to Joseph because _ was more upset about the death of their friend.,Ryan,Joseph,2
Ryan offered condolences to Joseph although _ was more upset about the death of their friend.,Ryan,Joseph,1
"The kids wanted to go diving and swimming in the hotel pool. However, their parents said the pool was too deep for _ .",diving,swimming,2
"The kids wanted to go diving and swimming in the hotel pool. However, their parents said the pool was too shallow for _ .",diving,swimming,1
"Spanish is the native language of Lawrence but not Michael, because _ grew up in an Asian community.",Lawrence,Michael,2
The students used the cards instead of the books to improve their memory of the subject because the _ were already studied.,cards,books,2
"Mary likes grunge and told Megan, who doesn't, part of the look was trashy clothes. That's why _ avoids the thrift stores.",Mary,Megan,2
The shoe dried off way faster than the cloth because the _ is more wet.,cloth,shoe,1
"After looking at pictures of men with beards Derrick wanted Ryan to grow one, because _ thinks they are sexy.",Derrick,Ryan,1
It took longer for Christopher to carry their groceries from the car than it was for Michael because _ had more bags.,Christopher,Michael,1
"Jill grew both flowers and vegetables in her garden, but the _ were her favorite because she loved to smell them.",flowers,vegetables,1
Felicia liked to fall asleep in silence while Rebecca preferred white noise; _ wore ear plugs to bed.,Felicia,Rebecca,1
Felicia liked to fall asleep to white noise while Rebecca preferred silence; _ wore ear plugs to bed.,Felicia,Rebecca,2
Angela ordered coffee at the cafe and Erin ordered some herbal tea. _ desired something that would perk her up.,Angela,Erin,1
"While repairing the drywall, Joel asked Ian if the texture of the new drywall matched the old drywall in the dining room, because _ was in the dining room.",Joel,Ian,2
"While repairing the drywall, Joel asked Ian if the texture of the new drywall matched the old drywall in the dining room, because _ was in the living room.",Joel,Ian,1
James could not giving his speech within the time given to him. The _ is long.,speech,time,1
Throughout his years the child loved his blanket and not his teddy because the _ was older.,blanket,teddy,1
Carrie had a more bubbly personality than Emily so _ found it difficult to get a new boyfriend.,Carrie,Emily,2
It was easier to crush the tomatoes than the pears because the _ were firm.,tomatoes,pears,2
The range of the gun was restricted after the barrel was shortened because the _ is independent of it.,range,gun,2
The range of the gun was restricted after the barrel was shortened because the _ is dependent of it.,range,gun,1
"Maria ended up getting acid reflux after the meal, unlike Laura, because _ had ordered a spicy dish.",Maria,Laura,1
"Maria ended up getting acid reflux after the meal, unlike Laura, because _ had ordered a bland dish.",Maria,Laura,2
I suggest the eyelash growth serums to my client for her eyelashes because the _ were strong.,serums,eyelashes,1
"To clean my floors I use a broom and sometimes also use a mop, since I want to be thorough today I am using the _ on the floor.",broom,mop,2
The athlete used the skills she learned in high school to compete in long distance races; the _ were tiring.,races,skills,1
"Marie went on a diet to lose weight by relying on the low calorie food pack and running on the treadmill, but the _ had a lot of salt.",pack,treadmill,1
John complained about leg pain whenever he walk to the school but not when he walk to the church. It turns out the _ is close.,school,church,2
The shoes had more traction on the gym floor than on the grass because the _ was dry.,grass,floor,2
The shoes had more traction on the gym floor than on the grass because the _ was wet.,grass,floor,1
"Jason drove in a car to their workplace while Kyle biked, so _ never wore a helmet on their way to work.",Jason,Kyle,1
"Mary needed the help of Christine to navigate getting their name changed on a social security card, but _ couldn't help.",Mary,Christine,2
Christopher ate more candy than Hunter did because _ suffered from a case of severe diabetes.,Christopher,Hunter,2
Carrie was shivering more than Jessica was shivering outside although _ was feeling much colder.,Carrie,Jessica,2
"Lawrence was able to go to the store daily unlike Aaron, due to the fact that _ lived in the countryside.",Lawrence,Aaron,2
"Lawrence was able to go to the store daily unlike Aaron, due to the fact that _ lived in the city.",Lawrence,Aaron,1
Matthew measured the inseam on Michael's pants. _ tailored his other pants to match the initial pair.,Matthew,Michael,1
Maria asked Tanya if a tooth infection was very painful because _ had a toothache before.,Maria,Tanya,2
Natalie loved the rock music and wanted Patricia to hear some of it so _ happily borrowed the CDs.,Natalie,Patricia,2
Jason's leg was more sore than his arm was because he warmed up the _ before exercising.,arm,leg,1
Jason's leg was more sore than his arm was although he warmed up the _ before exercising.,arm,leg,2
"Craig lost the promotion at their current company to Nelson, in spite of _ failing to show up on time.",Craig,Nelson,2
Felicia received an award at work while Kayla did not because _ had no accidents at the workplace.,Felicia,Kayla,1
"Nelson brought a list of stomach symptoms he'd experienced to Randy, but _ forgot to bring them up.",Nelson,Randy,1
"Being colorblind, Laura couldn't see the same spectrum as Jessica,  so _ had to return the task.",Laura,Jessica,1
Jen could make a chocolate or fruit cake for her mom's birthday. She chose the _ cake because it was healthier.,fruit,chocolate,1
Jen could make a chocolate or fruit cake for her mom's birthday. She chose the _ cake because it was unhealthier.,fruit,chocolate,2
"Patricia decided to limit the internet time of Kayla by putting parental controls on the network, but _ changed the settings back.",Patricia,Kayla,2
"The soap of Jennifer works a lot worse than the one that Monica uses, so _ 's soap is likely cheaper.",Jennifer,Monica,1
"Donald was allergic to cats while Michael was not, so the cat was taken away from _ .",Donald,Michael,1
"Steven regretted going camping with Ian because there were frogs all over the campsite, but _ didn't mind setting up the tent.",Steven,Ian,2
"Boston Terriers are the favorite breed of Angela, and Victoria love Great Danes. _ likes smaller dogs.",Angela,Victoria,1
Robert blamed Leslie for wearing down the batteries in the remote control car. _ said it was an inconsiderate assumption.,Robert,Leslie,2
"Her appointment to get her hair done was at 5:00, but she needed to catch the 4:30 train.  The _ was early, so she arrived with plenty of time.",appointment,train,2
"Her appointment to get her hair done was at 5:00, but she needed to catch the 4:30 train.  The _ was late, so she arrived with plenty of time.",appointment,train,1
Kyle handed the letter to Randy to read to his hearing because _ is literate.,Kyle,Randy,2
Kyle handed the letter to Randy to read to his hearing because _ is illiterate.,Kyle,Randy,1
I was trying to spot a fast food restaurant or food truck to grab something to eat. I saw the _ so I can sit down.,restaurant,truck,1
"Dennis explains to Steven that he'll need a permit to do electrical work on his house, because _ got in trouble for that once.",Dennis,Steven,1
Dave could not drive his vehicle down the road because the _ was too wide.,vehicle,road,1
"After comparing, Craig's playlist was longer than Hunter's since _ preferred more variety to their music.",Craig,Hunter,1
"Maria gets Kayla to pose so that she can draw her, because _ is a better model.",Maria,Kayla,2
Alice's allergies always told her when the filters needed to be changed because the _ would be filthy.,allergies,filters,2
Hunter was served an eviction notice by Justin because _ didn't receive their rent payment.,Hunter,Justin,2
Angela was the jester while Carrie was a king so _ laughed at the other's performance.,Angela,Carrie,2
Angela was the king while Carrie was a jester so _ laughed at the other's performance.,Angela,Carrie,1
"Mary started to drill a large hole in Rebecca's front door, because _ was locked out of his house.",Mary,Rebecca,2
"To solve the problem, she threw the ball into the hole as the _ was movable.",ball,hole,1
"To solve the problem, she threw the ball into the hole as the _ was immovable.",ball,hole,2
"The man unplugged the electric skillet and plugged in the crockpot, so the _ would cool.",skillet,crockpot,1
Samuel knew to recycle aluminum cans but not Logan because _ was never in need of extra change.,Samuel,Logan,2
Samuel knew to recycle aluminum cans but not Logan because _ was always in need of extra change.,Samuel,Logan,1
"Joseph fell asleep before Ryan, so _ ended up getting less sleep when they woke up in the morning.",Joseph,Ryan,2
"On his way to the interview, Max bought a nice tie to go along with his slacks, but he spilled food on his lap, causing the _ to get dirty.",tie,slacks,2
Eric got lots of tickets but Adam did not because _ drove below the speed limit.,Eric,Adam,2
His two biggest problems were his consumption of cookies and potatoes.  The _ were often crumbling.,cookies,potatoes,1
His two biggest problems were his consumption of cookies and potatoes.  The _ were often spoiled.,cookies,potatoes,2
Coconut oil was always used by Emily and not Angela because _ lived a healthier lifestyle.,Emily,Angela,1
She had to take the collar off from their cat's neck because the _ was tight.,collar,neck,1
She had to take the collar off from their cat's neck because the _ was constrained.,collar,neck,2
"After she removed her contact lenses and wore her glasses, she finally saw pimples in mirror. The _ were dirty.",contact lenses,glasses,1
"While waiting for her bus to get to work for an 8 a.m. meeting, she was worried that she would be several minutes late because the _ was running behind.",bus,meeting,1
He tried to raise his testosterone level with medicine by the weekend but the _ was too slow.,medicine,weekend,1
"Jennifer got her insurance bill in the mail and she thought it was wrong, so she put it back into the _ to return it.",bill,mail,2
"Jennifer got her insurance bill in the mail and she thought it was wrong, so she put the _ back into the mail to return it.",bill,mail,1
"Elena went to the museum on Saturday morning, but Angela didn't because _ was free.",Elena,Angela,1
James wore the T-shirt  to the concert and left the jacket at home because the _ was more tight-fitting and he wanted to be comfortable.,jacket,T-shirt,1
"At the park, Rachel wanted to feed the birds with bird food. Samantha said this was a waste of money. _ didn't care that they wouldn't feed the birds.",Rachel,Samantha,2
"At the park, Rachel wanted to feed the birds with bird food. Samantha said this was a waste of money. _ was sad they wouldn't feed the birds.",Rachel,Samantha,1
"Rebecca picked up Amy to carpool to work every day, so _ asked for some gas money.",Rebecca,Amy,1
"Rebecca picked up Amy to carpool to work every day, so _ offered some gas money.",Rebecca,Amy,2
"Joel was prone to sunburn so spent much time indoors, quite the opposite of Lawrence. _ often swam to pass the summer days.",Joel,Lawrence,2
"Joel was prone to sunburn so spent much time indoors, quite the opposite of Lawrence. _ often cooked to pass the summer days.",Joel,Lawrence,1
"While Samantha was doing her makep for school, Rachel was studying. _ is more interested in her innner self.",Samantha,Rachel,2
Jane bought an ice cream maker and was eager to try it with milk and vanilla but the _ was sour.,milk,vanilla,1
Jane bought an ice cream maker and was eager to try it with milk and vanilla but the _ was too sweetened.,milk,vanilla,2
"Chewing gum was pleasurable to Robert but not Kevin, so _ always had some Juicy Fruit in their pocket.",Robert,Kevin,1
"Kayla's daughter can't eat nuts, though Rebecca's daughter can, although _ 's daughter has more allergies.",Kayla,Rebecca,2
"He did not have enough money to bid on the car and the painting , he finally decided to bid on the _ because it would be fun to maintain.",car,painting,1
"Kenneth had an older cell phone than Jason, so when their brother needed to look something up while shopping, he asked _ .",Kenneth,Jason,2
The chemistry class had to chose between two abrasive chemicals in the experiment. They ended up choosing the acid over the base because the _ wouldn't work.,acid,base,2
"The gemstone in her ring was old and dated, so she went to the jeweler to try and get a new and the _ upgraded for the ring .",ring,gemstone,2
"The jewelry is fake that Angela wears, which Laura confirms at the shop. So, _ is the consumer.",Angela,Laura,1
"We gave the powder to the man instead of the salt that he asked for, because the _ was needed.",powder,salt,1
There was less corn than beans left because the hogs loved eating the _ .,corn,beans,1
There was less corn than beans left because the hogs hated eating the _ .,corn,beans,2
"The dog food outweighed the drink, hence James decided to add more drink because the _ is lighter.",food,drink,2
"The dog food outweighed the drink, hence James decided to add more drink because the _ is heavier.",food,drink,1
He used a red marker to color the paper until the _ was completely dry.,marker,paper,1
The relationship of my friend was  more special than my marriage because the _ was two-sided.,relationship,marriage,1
"Christine paid a lot of money to Erin to navigate for the journey, because _ was a rich explorer.",Christine,Erin,1
The decision was made by Derrick instead of Nick because _ was not passive with it.,Derrick,Nick,1
The truck got damaged while it was transporting the steel because the _ is light.,truck,steel,1
Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  _ was happy for him.,Aaron,Benjamin,1
Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  _ was happy for himself.,Aaron,Benjamin,2
She wanted to add color to her room so she painted one side and added wallpaper to the other. The _ was paper thin.,room,wallpaper,2
"Laura can only do 10 push ups, while Emily can do 50, so _ is a heavy weight lifter.",Laura,Emily,2
"Laura can only do 10 push ups, while Emily can do 50, so _ is a light weight lifter.",Laura,Emily,1
The football was flying higher than the basketball as it went through the air. The _ was lighter.,football,basketball,1
The football was flying higher than the basketball as it went through the air. The _ was heavier.,football,basketball,2
"Jennifer's pregnancy was a lot worse than Betty's, because _ smoke and drank the whole time.",Jennifer,Betty,1
"Steven raises cattle while Joel raises chickens, and therefore _ is able to sell milk.",Steven,Joel,1
Adam was an equally matched kicker to goalie Logan because _ was able to catch a soccer ball at high speeds.,Adam,Logan,2
The allergy caused James to need a high dose of medication because the _ was curing it.,allergy,medication,2
"Mary has decided to put a picture in her locket to make it more interesting, but it won't fit. The _ is too wide.",locket,picture,2
She wanted to go fishing but her rod was broken but had gotten a lure as a gift so the _ was old.,rod,lure,1
Nick was helping Jeffrey from trying to smoke cigarettes because _ now smokes two packs a day.,Nick,Jeffrey,2
Nick was helping Jeffrey from trying to smoke cigarettes because _ used to smoke two packs a day.,Nick,Jeffrey,1
Robert gave instruction to Neil because _ was so worried about the dangerous road ahead.,Robert,Neil,2
Jilly tried to put on the costume but couldn't get it around her leg because the _ was too small.,costume,leg,1
Jilly tried to put on the costume but couldn't get it around her leg because the _ was too big.,costume,leg,2
"The woman was glad that she was able to return her mascara and exchange it for eyeliner, because the _ was of great quality.",mascara,eyeliner,2
The owl flew into the night to hunt for food to bring back to her nest. She was glad the _ was high.,food,nest,2
John cleaned the table with his bare hand and washed it in a bowl of water. Now the _ is dirty.,table,water,2
"Although Ian was a better writer than Robert, _ found it difficult to write fiction.",Ian,Robert,1
After the fire the table and the roof were both still smoking.  The _ would be cheaper to replace.,table,roof,1
After the fire the table and the roof were both still smoking.  The _ would be expensive to replace.,table,roof,2
Joseph was keen to do a workout however Steven was having none of it as _ was very energetic.,Joseph,Steven,1
Playing goalkeeper better suitted Emily and not Erin because _ was able to read a players penalty run up.,Emily,Erin,1
"Because Monica gave a gift to Carrie, _ was written a thank you letter for the gift.",Monica,Carrie,1
Jessica had to straighten Maria's hair for the festival as _ can see it from the back.,Jessica,Maria,1
Matt took the bus home instead of his car because he had been drinking alcohol. It was illegal to take the _ .,car,bus,1
"When Betty wanted to organize her closet, instead of keeping things in cardboard boxes, she used plastic totes. The _ wouldn't last for a long time.",cardboard boxes,plastic totes,1
Rebecca kept their workspace neat but Jennifer left theirs unorganized. _ often took a few hours to find important papers.,Rebecca,Jennifer,2
Rebecca kept their workspace neat but Jennifer left theirs unorganized. _ only took a few minutes to find important papers.,Rebecca,Jennifer,1
I would say Amy is somewhat of a tomboy while Patricia is a girly girl as _ grew up with no brother.,Amy,Patricia,2
I would say Amy is somewhat of a tomboy while Patricia is a girly girl as _ grew up with a brother.,Amy,Patricia,1
Mack wanted the mop to do some spring cleaning in his house but could only find the broom. He always found the _ to be less thorough.,broom,mop,1
Mack wanted the mop to do some spring cleaning in his house but could only find the broom. He always found the _ to be more thorough.,broom,mop,2
"I was using both steel wool and sandpaper to try and remove the rust from the hammer, but the _ was too soft.",steel wool,sandpaper,1
"I was using both steel wool and sandpaper to try and remove the rust from the hammer, but the _ was too coarse.",steel wool,sandpaper,2
Robert was worried about Nick since his backpack was so heavy. _ bought him one with wheels.,Robert,Nick,1
"Neil liked to show off his muscular torso while Kenneth always kept his shirt on, as _ was so proud.",Neil,Kenneth,1
"While Brett preferred fast food, Kevin preferred five star restaurants, so therefore _ tended to eat cheap food.",Brett,Kevin,1
Elena told Natalie to put the hood of her jacket up because _ was likely to get cold.,Elena,Natalie,2
I had a hard time backing out of my space in the parking garage because a truck had parked next to me and the _ was quite narrow.,truck,space,2
I had a hard time backing out of my space in the parking garage because a truck had parked next to me and the _ was quite large.,truck,space,1
After the calculation we found that the pipe fits through the hole because the _ was narrow enough.,pipe,hole,1
After the calculation we found that the pipe fits through the hole because the _ was wide enough.,pipe,hole,2
"Christine made cookies for Elena, although _ had no desire to eat a special snack.",Christine,Elena,2
The boy was more comfortable flirting at the party than at the meeting because he was sober at the _ .,meeting,party,1
The boy was more comfortable flirting at the party than at the meeting because he was drunk at the _ .,meeting,party,2
"Michael wore a suit much more often than Eric, so _ didn't need to have access to a dry cleaner.",Michael,Eric,2
"Michael wore a suit much more often than Eric, so _ needed to have access to a dry cleaner.",Michael,Eric,1
"The studio Betty owned was rented out to Cynthia for some recordings, _ made a lot of money on the deal.",Betty,Cynthia,1
"The Mom of Betty has passed away, but Katrina's is still living, so _ is very grateful.",Betty,Katrina,2
Sarah was unable to find the job opening that they wanted at their school because the _ is small.,school,job,1
Although Kenneth was a much better writer than Joel even _ couldn't argue the other is a much better editor.,Kenneth,Joel,1
Although Kenneth was much worse at writing than Joel even _ couldn't argue the other is a much better editor.,Kenneth,Joel,2
"Aaron worried college was too expensive and he wouldn't be able to finish it but Matthew disagreed, _ wasn't easily convinced.",Aaron,Matthew,1
"Aaron worried college was too expensive and he wouldn't be able to finish it but Matthew disagreed, _ had a hard time explaining why.",Aaron,Matthew,2
He was going to use his boat in the river but the _ was too shallow.,river,boat,1
I prefer to use a laptop instead of a computer because the _ can be taken nowhere.,laptop,computer,2
During martial arts class the kid broke the blocks above the stones as the _ were being supported at his height.,blocks,stones,1
During martial arts class the kid broke the blocks above the stones as the _ were supporting at his height.,blocks,stones,2
Emily can go a long time without visiting a bathroom but Jessica cannot because _ has a large bladder.,Emily,Jessica,1
Josh had to clean sand off his feet but not his hands after going to the beach because the _  generally touch the sand less often.,feet,hands,2
Josh had to clean sand off his feet but not his hands after going to the beach because the _ generally touch the sand more often.,feet,hands,1
"There was blood all over the floor, but the curtain was clean, so the investigators assumed the murderer chose the _ to commit his crime.",floor,curtain,1
"There was blood all over the floor, but the curtain was clean, so the investigators assumed the murderer avoided the _ to commit his crime.",floor,curtain,2
"Not wanting a hangover in the morning, the man drank wine instead of beer because the _ had a higher alcohol content.",wine,beer,2
"In the mountains of Japan, Erin sought physical training from Amy because _ was a protege.",Erin,Amy,1
The wheels on the truck were worse than the tires on the car because the _ were lightly used.,wheels,tires,2
Carrie needed to twist backward to talk with Monica because _ was in front of her.,Carrie,Monica,1
Carrie needed to twist backward to talk with Monica because _ was behind of her.,Carrie,Monica,2
Mary had used a tote bag more than a backpack even though the _ is tinier.,tote bag,backpack,1
"the numbers could not fit into the graduation list,  the _ was too big.",list,number,2
"Mary tried connecting the HDMI cord to the television, but it would not work because the _ was older.",television,cord,1
"Mary tried connecting the HDMI cord to the television, but it would not work because the _ was newer.",television,cord,2
"He refused to change out of his tank top, even though it made him look like a a redneck with beer because he wanted to finish the _ .",beer,tank top,1
"Felicia was able to grow beautiful multi-colored lilies in the backyard without a problem, but Sarah struggled to get anything to grow, because _ had a greenthumb.",Felicia,Sarah,1
Joseph helped to prevent the disease in Brett's body during the overwhelming plague because _ was a patient.,Joseph,Brett,2
Elena didn't have a headache after using the paint but Lindsey did because _ used a face mask.,Elena,Lindsey,1
Elena didn't have a headache after using the paint but Lindsey did because _ didn't use  a face mask.,Elena,Lindsey,2
"Annie put thought into what gifts to bring to the wedding, bringing a tea kettle and a cast iron skillet. The _ was very shiny.",kettle,skillet,1
Felicia punched Monica right in the Adam's apple so _ had to spend the night in the local jail.,Felicia,Monica,1
"When leaving his job, Mike signed an agreement that guarantees him pay for six months, but doesn't get him insurance. The _ was most important to him.",pay,insurance,1
"When leaving his job, Mike signed an agreement that guarantees him pay for six months, but doesn't get him insurance. The _ was less important to him.",pay,insurance,2
"Joel suffered from a severe addiction to gambling, and took money from Nelson to gamble. _ was happy to have money for gambling.",Joel,Nelson,1
A raccoon broke into Neil's camper while Benjamin was sleeping there so _ quietly got the raccoon out.,Neil,Benjamin,1
A raccoon broke into Neil's camper while Benjamin was borrowing it so _ quietly got the raccoon out.,Neil,Benjamin,2
Jason couldn't get their newborn on a schedule while Adam could because _ had had one child before.,Jason,Adam,2
Kayla got sicker at the diner than Sarah because _ meal had fully cooked chicken in it.,Kayla,Sarah,2
Patricia didn't help Carrie comfort the crying baby because _ has many children of her own.,Patricia,Carrie,2
"Katrina was sitting closer to the door than Jennifer, so _ asked her to close it.",Katrina,Jennifer,2
"Mary's new wedding ring would not fit on her ring finger, the _ was too narrow.",ring,finger,1
"Mary's new wedding ring would not fit on her ring finger, the _ was too wide.",ring,finger,2
Sarah had painful hemorrhoids but Megan does not. _ had to have an operation on their heart.,Sarah,Megan,2
Neil liked a bath but Christopher liked a shower. _ was pleased to see their partner had a hot bath waiting for them.,Neil,Christopher,1
Neil liked a bath but Christopher liked a shower. _ was pleased to see their partner had a steaming shower waiting for them.,Neil,Christopher,2
The window could prevent the wind from getting in because the _ was strong .,window,wind,1
She was wanting to season her tempeh with either salt or chili powder.  The _ was subtle.,salt,chili powder,1
Kim could eat bread with butter or jam. She chose the _ because it was salty.,butter,jam,1
Kim could eat bread with butter or jam. She chose the _ because it was sweet.,butter,jam,2
The car had a flat tire but the truck was okay but we took the _ anyway.,truck,car,2
Leslie thinks the emo look is pretty fresh but Robert thinks it's trashy. _ bought ripped jeans at the clothing store.,Leslie,Robert,1
"Samuel was always given terrible service compared to Justin, by reason of _ being a rude person.",Samuel,Justin,1
Lindsey was more excited than Laura about having a gender reveal party for the baby. _ thought they were adorable.,Lindsey,Laura,1
The bumper on the car shone brighter than the handle on the car because the _ was dirtier.,bumper,handle,2
The bumper on the car shone brighter than the handle on the car because the _ was cleaner.,bumper,handle,1
The rod cannot easily move around while being used to stir the liquid in the drum because the _ is wide.,rod,drum,1
Donald always spent ages trying to get their kitchen clean but Aaron did not because _ was very tidy.,Donald,Aaron,1
"Betty loved being on her computer while Jessica loved the outdoors, so you would often find _ online .",Betty,Jessica,1
For their landscaping buisness Sarah was trying to use the xerox machine that Lindsey owned to make signs. _ was a tree-cutter.,Sarah,Lindsey,1
For their landscaping buisness Sarah was trying to use the xerox machine that Lindsey owned to make signs. _ was a photoshop store owner.,Sarah,Lindsey,2
"Michael wrote Steven a letter of motivation, while _ was going through a hard time.",Michael,Steven,2
"Cynthia gave Elena their bank account number, and _ felt trusted not to steal from them.",Cynthia,Elena,2
"Patricia refused to learn any life lessons from Natalie, even though _ needed the knowledge.",Patricia,Natalie,1
John after crying for a while wipes his face with the new towel and got the _ wet.,face,towel,2
Benjamin drank eight bottles of beer before Matthew got there and _ was very upset.,Benjamin,Matthew,2
Drawing was a talent of Sarah but not Carrie so _ was always eager to see her artwork .,Sarah,Carrie,2
Drawing was a talent of Sarah but not Carrie so _ was always eager to show her her artwork .,Sarah,Carrie,1
"The minefield had a bomb in it, that the boys were walking thru. The bomb went off in the _ and hurt the boys.",minefield,bomb,1
"Natalie was always very eager to leave work at the end of the day, unlike Emily, because _ hated the job.",Natalie,Emily,1
"Natalie was always very eager to leave work at the end of the day, unlike Emily, because _ loved the job.",Natalie,Emily,2
Laura was helping Megan with serious digestive issues so _ ate an easily digestible meal.,Laura,Megan,2
"Mary laughed at Rebecca when she accidentally slipped and did the splits, so the man looked at _ with contempt.",Mary,Rebecca,1
"Patricia knew that Samantha was an expert at applying makeup, and _ offered a tutorial.",Patricia,Samantha,2
"The hamster that Randy is pet sitting for Nelson gets out of the cage and gets lost, and _ feels angry.",Randy,Nelson,2
"Lynn wanted to decorate her plain bobby pins, and made beaded bobby pins. The _ ones were old.",plain,beaded,1
"William was diagnosed with depression on Thursday by Craig, something that _ was very intrigued by.",William,Craig,2
Matthew's black jeans were now faded to light gray but not Aaron's because _ washed them infrequently.,Matthew,Aaron,2
Matthew's black jeans were now faded to light gray but not Aaron's because _ washed them regularly.,Matthew,Aaron,1
Brian wrote a best selling story about Brett because _ was a great book author.,Brian,Brett,1
I had a more difficult time in junior college than University because the _ was very strict.,college,University,1
"Erin chopped the garlic while Rachel cooked the sauce, because _ was a worse cook.",Erin,Rachel,1
Lawrence wanted a budgie but Kyle wanted a parrot. _ didn't want a pet that could talk back.,Lawrence,Kyle,1
"The oil worked better to link the products than water, because the _ was slippery.",oil,water,1
"The oil worked better to link the products than water, because the _ was non sticky.",oil,water,2
"Brett's record is filled with speeding and parking tickets, while Leslie has none, so _ pays his fines.",Brett,Leslie,1
Jane needed either a 15-year or 30-year mortgage for a house she wanted to buy. The _ was too short.,15-year,30-year,1
Jane needed either a 15-year or 30-year mortgage for a house she wanted to buy. The _ was too long.,15-year,30-year,2
The child was not happy with the shoe that slipped off his leg when he was running. The _ is big.,shoe,leg,1
The child was not happy with the shoe that slipped off his leg when he was running. The _ is small.,shoe,leg,2
"Kim used a sans-serif font in the letter to her boyfriend, but a serif font in an email to her boss, because she felt the _ was harder to read..",sans-serif font,serif font,1
"Kim used a sans-serif font in the letter to her boyfriend, but a serif font in an email to her boss, because she felt the _ was easier to read.",sans-serif font,serif font,2
"The ice under Sarah gave way and Felicia helped pull them out, because _ was laying on top of the ice.",Sarah,Felicia,2
Megan was infuriated with Jessica stampeding the garden because _ planted all the crops and flowers.,Megan,Jessica,1
"Jessica applied the serum carefully with a small brush before going over it with a roller, because the _ always had to be used first.",roller,brush,2
"Although Natalie 's new boyfriend seemed like a catch, Christine objected, since _ tended to have poor judgement in mates.",Natalie,Christine,1
"Although Natalie 's new boyfriend seemed like a catch, Christine objected, since _ tended to have good judgement in mates.",Natalie,Christine,2
The teacher taught the class to draw the house after the tree because the _ was harder to draw.,house,tree,1
The teacher taught the class to draw the house after the tree because the _ was easier to draw.,house,tree,2
"Maura went out into the city while it was still winter, so she brought a coat because the _ is cold.",city,coat,1
